uid,interactive_demo_completion,revisiting_lead_status,demand_source,sign_up_source,has_converted
uuid_201,0,12,Paid Search,website,1
uuid_202,0,50,Word of Mouth / Direct,--,1
uuid_203,0,12,Word of Mouth / Direct,website,1
uuid_204,0,12,Word of Mouth / Direct,--,0
uuid_205,0,12,Paid Social,website,0
uuid_206,0,12,Word of Mouth / Direct,--,1
uuid_207,0,12,Paid Social,website,0
uuid_208,0,12,Word of Mouth / Direct,website,0
uuid_209,0,12,Word of Mouth / Direct,website,1
uuid_210,0,12,Paid Social,--,0
uuid_211,0,12,Other,website,1
uuid_212,0,12,Paid Social,website,1
uuid_213,0,12,Word of Mouth / Direct,website,1
uuid_214,0,12,Word of Mouth / Direct,website,1
uuid_215,0,12,Paid Search,website,1
uuid_216,0,12,Partners,--,0
uuid_217,0,12,Word of Mouth / Direct,--,1
uuid_218,0,25,Word of Mouth / Direct,website,1
uuid_219,0,12,Word of Mouth / Direct,--,0
uuid_220,0,12,Word of Mouth / Direct,website,1
uuid_221,50,12,Word of Mouth / Direct,website,1
uuid_222,0,12,Word of Mouth / Direct,website,1
uuid_223,0,12,Word of Mouth / Direct,website,1
uuid_224,50,25,Word of Mouth / Direct,--,1
uuid_225,0,12,Word of Mouth / Direct,website,1
uuid_226,0,12,Paid Social,website,1
uuid_227,0,50,Word of Mouth / Direct,--,0
uuid_228,0,12,Other,website,1
uuid_229,0,12,Word of Mouth / Direct,website,1
uuid_230,0,12,Partners,platform_partner,1
uuid_231,0,25,Word of Mouth / Direct,--,0
uuid_232,0,62,Word of Mouth / Direct,--,1
uuid_233,0,12,Word of Mouth / Direct,website,1
uuid_234,0,12,Word of Mouth / Direct,website,1
uuid_235,0,12,Partners,website,1
uuid_236,0,12,Partners,website,0
uuid_237,0,12,Word of Mouth / Direct,--,0
uuid_238,0,12,Word of Mouth / Direct,website,0
uuid_239,0,37,Other,--,1
uuid_240,0,12,Paid Social,website,0
uuid_241,0,12,Word of Mouth / Direct,website,1
uuid_242,0,12,Other,--,1
uuid_243,0,12,Word of Mouth / Direct,website,1
uuid_244,0,12,Word of Mouth / Direct,website,1
uuid_245,0,12,Paid Social,website,1
uuid_246,0,12,Word of Mouth / Direct,website,1
uuid_247,0,12,Paid Social,website,1
uuid_248,0,87,Word of Mouth / Direct,--,1
uuid_249,0,12,Paid Social,--,0
uuid_250,0,12,Word of Mouth / Direct,--,1
uuid_251,0,12,Word of Mouth / Direct,website,1
uuid_252,0,12,Other,website,1
uuid_253,0,12,Partners,website,1
uuid_254,0,12,Paid Social,website,1
uuid_255,0,12,Paid Search,website,1
uuid_256,0,12,Paid Social,website,1
uuid_257,0,12,Paid Social,website,1
uuid_258,0,37,Partners,--,1
uuid_259,50,25,Other,website,0
uuid_260,0,12,Paid Social,website,1
uuid_261,0,12,Paid Social,website,0
uuid_262,0,12,Paid Search,website,1
uuid_263,0,12,Word of Mouth / Direct,--,0
uuid_264,0,12,Word of Mouth / Direct,website,0
uuid_265,0,12,Word of Mouth / Direct,website,1
uuid_266,0,25,Word of Mouth / Direct,website,1
uuid_267,0,12,Paid Search,website,0
uuid_268,0,12,Word of Mouth / Direct,website,1
uuid_269,0,12,Paid Search,--,0
uuid_270,0,12,Paid Search,website,0
uuid_271,0,12,Word of Mouth / Direct,website,1
uuid_272,0,12,Word of Mouth / Direct,website,1
uuid_273,0,12,Word of Mouth / Direct,--,0
uuid_274,0,12,Paid Social,website,0
uuid_275,0,12,Paid Search,website,0
uuid_276,50,25,Other,--,0
uuid_277,0,12,Word of Mouth / Direct,website,1
uuid_278,0,12,Word of Mouth / Direct,website,1
uuid_279,0,12,Paid Search,website,1
uuid_280,0,12,Paid Search,website,1
uuid_281,0,62,AE Outreach,--,1
uuid_282,0,50,Word of Mouth / Direct,--,1
uuid_283,0,50,Word of Mouth / Direct,--,1
uuid_284,0,12,Word of Mouth / Direct,website,1
uuid_285,0,12,Word of Mouth / Direct,website,1
uuid_286,0,12,Word of Mouth / Direct,--,1
uuid_287,0,12,Paid Social,website,0
uuid_288,0,12,Word of Mouth / Direct,--,0
uuid_289,0,12,Word of Mouth / Direct,website,1
uuid_290,0,12,Word of Mouth / Direct,website,1
uuid_291,0,12,Word of Mouth / Direct,website,1
uuid_292,0,12,Paid Search,website,0
uuid_293,0,12,Word of Mouth / Direct,website,0
uuid_294,0,12,Word of Mouth / Direct,website,1
uuid_295,0,100,AE Outreach,--,1
uuid_296,0,12,Word of Mouth / Direct,website,1
uuid_297,50,12,Word of Mouth / Direct,website,1
uuid_298,0,50,Word of Mouth / Direct,--,1
uuid_299,50,12,Other,--,1
uuid_300,0,12,Paid Search,website,0
