uid,interactive_demo_completion,revisiting_lead_status,demand_source,sign_up_source,has_converted
uuid_179,1,0.12,Paid Search,website,1
uuid_180,1,0.12,Paid Social,website,1
uuid_181,1,0.12,Word of Mouth / Direct,website,1
uuid_182,1,0.12,Word of Mouth / Direct,website,1
uuid_183,0,0.12,Word of Mouth / Direct,,0
uuid_184,0,0.12,Paid Search,,0
uuid_185,1,0.12,Partners,website,1
uuid_186,1,0.12,Paid Search,website,1
uuid_187,0,0.25,Word of Mouth / Direct,website,0
uuid_188,1,0.12,Word of Mouth / Direct,website,1
uuid_189,0,0.12,Word of Mouth / Direct,website,0
uuid_190,0,0.5,Word of Mouth / Direct,website,0
uuid_191,0,0.12,Word of Mouth / Direct,website,0
uuid_192,1,0.12,Paid Search,website,1
uuid_193,1,0.12,Word of Mouth / Direct,website,1
uuid_194,1,0.12,Word of Mouth / Direct,,1
uuid_195,0,0.25,Other,website,0
uuid_196,1,0.12,Paid Search,website,1
uuid_197,0,0.12,Word of Mouth / Direct,website,0
uuid_198,1,0.12,Word of Mouth / Direct,website,1
uuid_199,1,0.12,Word of Mouth / Direct,,1
uuid_200,0,0.12,Paid Social,website,0
uuid_201,1,0.12,Paid Search,website,1
uuid_202,1,0.5,Word of Mouth / Direct,,1
uuid_203,1,0.12,Word of Mouth / Direct,website,1
uuid_204,0,0.12,Word of Mouth / Direct,,0
uuid_205,0,0.12,Paid Social,website,0
uuid_206,1,0.12,Word of Mouth / Direct,,1
uuid_207,0,0.12,Paid Social,website,0
uuid_208,0,0.12,Word of Mouth / Direct,website,0
uuid_209,1,0.12,Word of Mouth / Direct,website,1
uuid_210,0,0.12,Paid Social,,0
uuid_211,1,0.12,Other,website,1
uuid_212,1,0.12,Paid Social,website,1
uuid_213,1,0.12,Word of Mouth / Direct,website,1
uuid_214,1,0.12,Word of Mouth / Direct,website,1
uuid_215,1,0.12,Paid Search,website,1
uuid_216,0,0.12,Partners,,0
uuid_217,1,0.12,Word of Mouth / Direct,,1
uuid_218,1,0.25,Word of Mouth / Direct,website,1
uuid_219,0,0.12,Word of Mouth / Direct,,0
uuid_220,1,0.12,Word of Mouth / Direct,website,1
uuid_221,1,0.12,Word of Mouth / Direct,website,1
uuid_222,1,0.12,Word of Mouth / Direct,website,1
uuid_223,1,0.12,Word of Mouth / Direct,website,1
uuid_224,1,0.25,Word of Mouth / Direct,,1
uuid_225,1,0.12,Word of Mouth / Direct,website,1
uuid_226,1,0.12,Paid Social,website,1
uuid_227,0,0.5,Word of Mouth / Direct,,0
uuid_228,1,0.12,Other,website,1
uuid_229,1,0.12,Word of Mouth / Direct,website,1
uuid_230,1,0.12,Partners,platform_partner,1
uuid_231,0,0.25,Word of Mouth / Direct,,0
uuid_232,1,0.62,Word of Mouth / Direct,,1
uuid_233,1,0.12,Word of Mouth / Direct,website,1
uuid_234,1,0.12,Word of Mouth / Direct,website,1
uuid_235,1,0.12,Partners,website,1
uuid_236,0,0.12,Partners,website,0
uuid_237,0,0.12,Word of Mouth / Direct,,0
uuid_238,0,0.12,Word of Mouth / Direct,website,0
uuid_239,1,0.37,Other,,1
uuid_240,0,0.12,Paid Social,website,0
uuid_241,1,0.12,Word of Mouth / Direct,website,1
uuid_242,1,0.12,Other,,1
uuid_243,1,0.12,Word of Mouth / Direct,website,1
uuid_244,1,0.12,Word of Mouth / Direct,website,1
uuid_245,1,0.12,Paid Social,website,1
uuid_246,1,0.12,Word of Mouth / Direct,website,1
uuid_247,1,0.12,Paid Social,website,1
uuid_248,1,0.87,Word of Mouth / Direct,,1
uuid_249,0,0.12,Paid Social,,0
uuid_250,0,0.12,Word of Mouth / Direct,,1
uuid_251,0,0.12,Word of Mouth / Direct,website,1
uuid_252,0,0.12,Other,website,1
uuid_253,0,0.12,Partners,website,1
uuid_254,0,0.12,Paid Social,website,1
uuid_255,0,0.12,Paid Search,website,1
uuid_256,0,0.12,Paid Social,website,1
uuid_257,0,0.12,Paid Social,website,1
uuid_258,0,0.37,Partners,,1
uuid_259,0.5,0.25,Other,website,0
uuid_260,0,0.12,Paid Social,website,1
uuid_261,0,0.12,Paid Social,website,0
uuid_262,0,0.12,Paid Search,website,1
uuid_263,0,0.12,Word of Mouth / Direct,,0
uuid_264,0,0.12,Word of Mouth / Direct,website,0
uuid_265,0,0.12,Word of Mouth / Direct,website,1
uuid_266,0,0.25,Word of Mouth / Direct,website,1
uuid_267,0,0.12,Paid Search,website,0
uuid_268,0,0.12,Word of Mouth / Direct,website,1
uuid_269,0,0.12,Paid Search,,0
uuid_270,0,0.12,Paid Search,website,0
uuid_271,0,0.12,Word of Mouth / Direct,website,1
uuid_272,0,0.12,Word of Mouth / Direct,website,1
uuid_273,0,0.12,Word of Mouth / Direct,,0
uuid_274,0,0.12,Paid Social,website,0
uuid_275,0,0.12,Paid Search,website,0
uuid_276,0.5,0.25,Other,,0
uuid_277,0,0.12,Word of Mouth / Direct,website,1
uuid_278,0,0.12,Word of Mouth / Direct,website,1
uuid_279,0,0.12,Paid Search,website,1
uuid_280,0,0.12,Paid Search,website,1
uuid_281,0,0.62,AE Outreach,,1
uuid_282,0,0.5,Word of Mouth / Direct,,1
uuid_283,0,0.5,Word of Mouth / Direct,,1
uuid_284,0,0.12,Word of Mouth / Direct,website,1
uuid_285,0,0.12,Word of Mouth / Direct,website,1
uuid_286,0,0.12,Word of Mouth / Direct,,1
uuid_287,0,0.12,Paid Social,website,0
uuid_288,0,0.12,Word of Mouth / Direct,,0
uuid_289,0,0.12,Word of Mouth / Direct,website,1
uuid_290,0,0.12,Word of Mouth / Direct,website,1
uuid_291,0,0.12,Word of Mouth / Direct,website,1
uuid_292,0,0.12,Paid Search,website,0
uuid_293,0,0.12,Word of Mouth / Direct,website,0
uuid_294,0,0.12,Word of Mouth / Direct,website,1
uuid_295,0,1,AE Outreach,,1
uuid_296,0,0.12,Word of Mouth / Direct,website,1
uuid_297,0.5,0.12,Word of Mouth / Direct,website,1
uuid_298,0,0.5,Word of Mouth / Direct,,1
uuid_299,0.5,0.12,Other,,1
uuid_300,0,0.12,Paid Search,website,0
