uid,interactive_demo_completion,revisiting_lead_status,demand_source,sign_up_source,has_converted
uuid_264,0,0.79,Word of Mouth / Direct,website,0
uuid_265,0,0.70,Word of Mouth / Direct,website,1
uuid_266,0,0.65,Word of Mouth / Direct,website,1
uuid_267,0,0.81,Paid Search,website,0
uuid_268,0,0.60,Word of Mouth / Direct,website,1
uuid_269,0,0.83,Paid Search,,0
uuid_270,0,0.85,Paid Search,website,0
uuid_271,0,0.51,Word of Mouth / Direct,website,1
uuid_272,0,0.59,Word of Mouth / Direct,website,1
uuid_273,0,0.87,Word of Mouth / Direct,,0
uuid_274,0,0.89,Paid Social,website,0
uuid_275,0,0.8,Paid Search,website,0
uuid_276,0.5,0.7,Other,,0
uuid_277,0,0.12,Word of Mouth / Direct,website,1
uuid_278,0,0.14,Word of Mouth / Direct,website,1
uuid_279,0,0.17,Paid Search,website,1
uuid_280,0,0.21,Paid Search,website,1
uuid_281,0,0.24,AE Outreach,,1
uuid_282,0,0.27,Word of Mouth / Direct,,1
uuid_283,0,0.30,Word of Mouth / Direct,,1
uuid_284,0,0.33,Word of Mouth / Direct,website,1
uuid_285,0,0.36,Word of Mouth / Direct,website,1
uuid_286,0,0.39,Word of Mouth / Direct,,1
uuid_287,0,0.7,Paid Social,website,0
uuid_288,0,0.7,Word of Mouth / Direct,,0
uuid_289,0,0.42,Word of Mouth / Direct,website,1
uuid_290,0,0.45,Word of Mouth / Direct,website,1
uuid_291,0,0.48,Word of Mouth / Direct,website,1
uuid_292,0,0.78,Paid Search,website,0
uuid_293,0,0.78,Word of Mouth / Direct,website,0
uuid_294,0,0.51,Word of Mouth / Direct,website,1
uuid_295,0,0.54,AE Outreach,,1
uuid_296,0,0.57,Word of Mouth / Direct,website,1
uuid_297,0.5,0.60,Word of Mouth / Direct,website,1
uuid_298,0,0.63,Word of Mouth / Direct,,1
uuid_299,0.5,0.66,Other,,1
uuid_300,0,0.8,Paid Search,website,1
